"","x","R","URS","UR","RS"
"1",1,0.0122415017967102,0.519365055846607,0.519508755263783,3.01909642301444e-08
"2",2,0.00288935212819018,0.303605704284278,0.303646694959828,1.11459366698736e-08
"3",3,0.00133218875210722,0.178218838380888,0.178130346704271,-7.70940902767949e-13
"4",4,0.012111216861557,0.166479197712793,0.166378221509808,6.21473188768176e-06
"5",5,0.0702610686143545,0.168228178686173,0.168145645435366,-2.10458750000111e-14
"6",6,0.710504485684398,0.503749120793687,0.503669103851453,-1.5153100566304e-14
"7",7,1.55420009609878,1.4983973578691,1.49793210760722,0.117487637754562
"8",8,2.39789570651317,2.58994377609497,2.59151551262192,1.67676085598248
"9",9,3.24159131692755,3.20583415332111,3.20099812588215,4.36519676487646
"10",10,3.58317451004761,3.6461570609054,3.65479962574,4.36399701792631
"11",11,3.92475770316767,3.95366603990714,3.94013460168624,4.36279727097616
"12",12,4.26634089628773,4.3440960056536,4.35884901437976,4.36159752402602
"13",13,4.34100542978904,4.51554435697028,4.50223608221827,4.36039777707587
"14",14,4.37274958145093,4.3499257722358,4.35851493122785,4.35919803012573
"15",15,4.36806402322637,4.29682563448755,4.29207405221059,4.35799828317558
"16",16,4.36337846500181,4.29663135172183,4.29806723501551,4.35679853622543
"17",17,4.35869290677726,4.51612883070564,4.51551171540491,4.35559878927529
"18",18,4.3540073485527,4.61754324690082,4.61698146022817,4.35439904232514
"19",19,4.34932179032814,4.47263800779787,4.47312108188757,4.353199295375
"20",20,4.34463623210358,4.29896822984948,4.29804370523973,4.35199954842485
"21",21,3.7588174072802,4.29605311926943,4.29624467595284,3.73462148557718
"22",22,3.17299858245682,3.68457241590029,3.68381169587114,3.1172434227295
"23",23,2.58717975763345,2.38155040733462,2.38198952563613,2.49986535988183
"24",24,2.00136093281007,1.3933833285261,1.39340618972215,1.88248729703415
