"","x","R","URS","UR","RS"
"1",1,0.0171777711376431,0.582632931862064,0.582686498156016,3.06135344461254e-08
"2",2,0.00272639359176832,0.387182578873076,0.387289146264289,2.12621638289971e-10
"3",3,0.0046291153724003,0.254402330467753,0.254340907605778,4.36344667692422e-07
"4",4,0,0.22918175088085,0.229210648592779,-3.98168929571424e-13
"5",5,0.0826482136566281,0.250209598639353,0.250118712447101,-4.76586809895041e-14
"6",6,0.428887624356896,0.560746072376627,0.560775819740773,-3.05207030066469e-14
"7",7,1.12293110572635,1.11660768832452,1.11709537477091,0.0582828338576126
"8",8,2.06365222991218,2.15890220449004,2.1561426904753,0.671973377916597
"9",9,3.00437335409801,2.9633878484424,2.9699520417692,4.69968846408033
"10",10,3.62807388289345,3.68518564938729,3.67161706746527,4.64332691648498
"11",11,4.13140565419876,4.10422978927933,4.12367043918529,4.58696536888963
"12",12,4.29441124977683,4.31684603778128,4.29394357148776,4.53060382129429
"13",13,4.36446687553519,4.42247753563623,4.44193130257732,4.47424227369894
"14",14,4.38183553585954,4.38521380578871,4.3715503214599,4.41788072610359
"15",15,4.39920419618388,4.35123867760622,4.35779774057978,4.36151917850825
"16",16,4.41657285650823,4.37341334273254,4.37040120484771,4.3051576309129
"17",17,4.43394151683258,4.3212813567706,4.32173655049661,4.24879608331756
"18",18,4.45131017715693,4.39439853444271,4.39392664247189,4.19243453572221
"19",19,4.29689920990686,4.37307827025029,4.37291411329891,4.13607298812687
"20",20,4.03494220986503,4.01917819768023,4.01875143313728,4.07971144053152
"21",21,3.416882786843,3.51408847585012,3.51395489369809,3.44410649231758
"22",22,2.79882336382097,2.97065369486777,2.97037135611301,2.80850154410364
"23",23,2.18076394079894,2.10197541799998,2.10212568725167,2.1728965958897
"24",24,1.56270451777691,1.69872067537107,1.69881847221757,1.53729164767576
