"","x","R","URS","UR","RS"
"1",1,0.0140871146218712,0.549766873146294,0.549914878034382,5.06769413346762e-08
"2",2,0.006072404156088,0.321535654809835,0.321268815810284,4.01178756067475e-08
"3",3,0.00228368848362601,0.151195462239936,0.151373972477893,1.93086333701083e-07
"4",4,0.0116246993236377,0.15756253464225,0.157624664592254,3.58393066805196e-06
"5",5,0.106029431829683,0.198221404041421,0.198646949767615,0.0256178085188381
"6",6,0.432417117170717,0.394441831414705,0.393961813502424,0.49565536584873
"7",7,1.45001631440661,1.50021321974773,1.50012000873362,1.21570206570705
"8",8,2.4676155116425,2.4831969165434,2.48406885870882,1.93574876556536
"9",9,3.4852147088784,3.52075329917952,3.51783755622826,4.31120792196249
"10",10,3.97450886402397,3.91584365126165,3.92105748888777,4.3296693679838
"11",11,4.23348132507916,4.20390287123979,4.19541340007213,4.34813081400512
"12",12,4.40705450738287,4.49796059668347,4.50682987072616,4.36659226002644
"13",13,4.41430664900618,4.55167850885748,4.5434980263079,4.38505370604776
"14",14,4.42155879062949,4.44150561543245,4.44658905516235,4.40351515206907
"15",15,4.42881093225279,4.34702939340122,4.34394288133641,4.42197659809039
"16",16,4.4360630738761,4.39176977790982,4.39237386859307,4.44043804411171
"17",17,4.44331521549941,4.57592625654091,4.57536425363203,4.45889949013303
"18",18,4.45056735712272,4.45090414872147,4.45018117034317,4.47736093615435
"19",19,4.45781949874603,4.58494178902551,4.58532685082037,4.49582238217567
"20",20,4.46507164036933,4.45745508661517,4.45661578168261,4.51428382819699
"21",21,3.74173930147322,4.10098482295974,4.10143718943895,3.75741734770869
"22",22,3.0184069625771,3.41989032737708,3.41920435927671,3.00055086722039
"23",23,2.29507462368099,2.21857191103747,2.2190261585963,2.24368438673208
"24",24,1.57174228478487,1.30856909728532,1.30857811586494,1.48681790624378
