"","x","R","URS","UR","RS"
"1",1,0.0202546808270546,0.671264186602198,0.671595751288556,4.74991054118239e-08
"2",2,0,0.259070499715497,0.258938153049,5.0396029238966e-11
"3",3,0,0.151658277023202,0.151849319655217,-4.03961149061597e-13
"4",4,0.00811915570787957,0.146578523617716,0.146619417434022,4.0459830545469e-06
"5",5,0.0153257486599209,0.187161893781276,0.1873516065777,-2.23052842951397e-14
"6",6,0.388042294858692,0.443102742713127,0.441890159479514,0.287002791077229
"7",7,1.35314807005054,1.52343604475056,1.52642680767197,0.964385461313654
"8",8,2.31825384524238,2.62115144474268,2.61047463357642,1.64176813155008
"9",9,3.59262002197875,3.3776054832101,3.40485556567036,4.31781525642191
"10",10,3.79775043905872,3.73166191339374,3.67804423680134,4.31082583530313
"11",11,4.0028808561387,4.02305908886375,4.10162761048857,4.30383641418435
"12",12,4.12268167864608,4.25232802120467,4.16225755757301,4.29684699306558
"13",13,4.24248250115345,4.2252978893219,4.30399190521115,4.2898575719468
"14",14,4.25292652606224,4.13963568622321,4.08597229546371,4.28286815082802
"15",15,4.26337055097102,4.23704381646344,4.26415459112554,4.27587872970924
"16",16,4.27381457587981,4.30651576055297,4.29587863006286,4.26888930859046
"17",17,4.28425860078859,4.39483595732859,4.39758786200382,4.26189988747169
"18",18,4.28771413774446,4.35788205317049,4.35676756715624,4.25491046635291
"19",19,4.29116967470033,4.411246426267,4.4113395880829,4.24792104523413
"20",20,4.29462521165619,4.2024710395164,4.20185034441861,4.24093162411536
"21",21,3.62445571360927,3.85584799531652,3.85587478241996,3.57906248200998
"22",22,2.95428621556235,3.38332899162503,3.38312036766445,2.9171933399046
"23",23,2.28411671751542,2.35605785406572,2.35629577098643,2.25532419779922
"24",24,1.6139472194685,1.5460046362955,1.54614643203847,1.59345505569384
