"","x","R","URS","UR","RS"
"1",1,0.0201836214773586,0.927571153250823,0.92786793340029,7.4936397897201e-08
"2",2,0,0.397170105687172,0.396990388759441,-1.59115623497993e-11
"3",3,0.00543461217796873,0.20618125035482,0.206390048894013,9.39997638100121e-08
"4",4,0,0.176295639754943,0.17629792027413,-7.21355990947866e-14
"5",5,0.0398332990802037,0.208448148408036,0.208524719352767,0.0205882927025676
"6",6,0.457747301362826,0.462562914903675,0.461904962389663,0.283671795763158
"7",7,1.49823751178485,1.48824303778007,1.48916042421593,1.21296838869585
"8",8,2.53872772220688,2.71684442125316,2.71396238902145,2.29588206222348
"9",9,3.5792179326289,3.4949016505962,3.50169976701858,4.11470427580804
"10",10,3.79351474302248,3.75100049627346,3.73719414923393,4.1299466144773
"11",11,4.00781155341605,3.9556832629216,3.97542769662427,4.14518895314655
"12",12,4.14328119677393,4.11184782519159,4.08876755787026,4.16043129181581
"13",13,4.1945221670311,4.17739377008482,4.19712560572,4.17567363048506
"14",14,4.20851322395467,4.24955251761321,4.23583678123662,4.19091596915432
"15",15,4.22250428087824,4.28019045543766,4.28679321686882,4.20615830782357
"16",16,4.23649533780181,4.27862414289464,4.27576306104702,4.22140064649283
"17",17,4.25048639472538,4.31356204797525,4.31402361978765,4.23664298516209
"18",18,4.26447745164895,4.28894045081451,4.28872798990596,4.25188532383134
"19",19,4.27846850857252,4.3681527418623,4.36761933760556,4.2671276625006
"20",20,4.26693006394769,4.30242803007435,4.3025650586947,4.28237000116985
"21",21,3.66435408818749,3.83026608794482,3.82955578277973,3.66888160745792
"22",22,3.06177811242728,3.45579212673746,3.45598424146455,3.05539321374599
"23",23,2.45920213666708,2.58909423725792,2.58900233488214,2.44190482003406
"24",24,1.85662616090687,1.6844288404788,1.68464401822689,1.82841642632212
