"","x","R","URS","UR","RS"
"1",1,0.0123900812160951,0.665805482988305,0.665882515070396,4.24860073976825e-08
"2",2,0.012992728764293,0.482818852111298,0.482541211366458,8.41510248574851e-08
"3",3,0.000676700138975463,0.28116847379321,0.281214843081949,5.10832423147973e-07
"4",4,0,0.177815663105401,0.177868681046103,-4.3025222268132e-13
"5",5,0.0126090341209383,0.245149008029919,0.245361973659452,-4.37486505088998e-14
"6",6,0.170353997532692,0.417297853212327,0.41728813610386,0.00260343617655719
"7",7,0.782777312872646,1.0102172900797,1.01054559041115,0.291418855777727
"8",8,1.71445975211585,1.8180210968974,1.81727911827886,0.580234275378893
"9",9,2.72674656668491,2.89427331592203,2.89533743656683,4.30849649877401
"10",10,3.38413110693856,3.41401892032545,3.41160011978789,4.26426025091144
"11",11,3.85125532464857,3.81981367072354,3.82284282875387,4.22002400304888
"12",12,4.10851883190245,4.02726733109186,4.02307367349029,4.17578775518631
"13",13,4.1690136478364,4.12804766346482,4.13091458284749,4.13155150732375
"14",14,4.12160840911835,4.17665030574994,4.17432412448267,4.08731525946118
"15",15,4.07420317040031,3.97179820401449,3.97265117323331,4.04307901159862
"16",16,4.02679793168226,4.0116253734035,4.01073657666606,3.99884276373605
"17",17,3.97939269296422,3.95520412544409,3.95529871771311,3.95460651587349
"18",18,3.93198745424617,3.85418666384319,3.8529418335244,3.91037026801092
"19",19,3.88458221552812,4.05706869997339,4.05790883485564,3.86613402014836
"20",20,3.83717697681008,3.83576502246697,3.83474092321862,3.8218977722858
"21",21,3.22163109871809,3.58999599381406,3.5907099779527,3.22658410237677
"22",22,2.60608522062611,3.11686244573463,3.11608465503293,2.63127043246774
"23",23,1.99053934253412,2.07010659679542,2.07063068051249,2.03595676255871
"24",24,1.37499346444214,1.1271704442712,1.12712589558778,1.44064309264967
