"","sd=0.5","sd=1","sd=2"
"median R",0.009,0.017,0.029
"median URS",0.015,0.025,0.062
"median UR",0.014,0.025,0.061
"mean R",0.012,0.019,0.034
"mean URS",0.016,0.028,0.066
"mean UR",0.014,0.028,0.066
