"","sd=0.5","sd=1","sd=2"
"median R",0.009,0.015,0.02
"median URS",0.013,0.022,0.06
"median UR",0.014,0.025,0.062
"mean R",0.011,0.017,0.027
"mean URS",0.013,0.025,0.064
"mean UR",0.014,0.028,0.066
