"","sd=0.5","sd=1","sd=2"
"median R",0.013,0.018,0.033
"median URS",0.013,0.02,0.054
"median UR",0.013,0.022,0.065
"mean R",0.014,0.022,0.038
"mean URS",0.014,0.024,0.055
"mean UR",0.014,0.026,0.064
