"","x","R","URS","UR","RS"
"1",1,2.65396779781837e-05,1.61643680589303,3.10313235808875,1.12451937702118e-07
"2",2,7.0191952666507e-06,1.28894771751461,0.820718351818923,-1.45594151569451e-09
"3",3,3.38798767199346e-06,0.759714573086565,0.39613755503477,5.40280945377638e-11
"4",4,5.53408370864078e-06,0.728575080881683,0.647046082296428,2.41521643119624e-09
"5",5,41.6648833560322,1.5625684621752,0.668044429574782,6.98900034657259
"6",6,53.1412696425152,4.58692998496052,2.76875310893403,7.09269826807428
"7",7,74.0340587817986,11.9152815131768,7.69767982396654,76.002282671815
"8",8,115.732505222394,22.8036538063399,22.4016149190882,153.224290951343
"9",9,170.112914355625,30.6004309592782,29.5107560654388,236.955809537776
"10",10,209.89002799317,33.9256567472034,29.3162135745317,242.128475361706
"11",11,236.044711817504,36.7524589022897,31.8330072427268,247.301141185635
"12",12,249.922345480261,40.0461207450368,36.3492339766917,252.473807009565
"13",13,259.559046388607,40.9543870552657,38.5366933272474,257.646472833494
"14",14,265.840804398973,39.7065704605403,32.7083413555705,262.819138657423
"15",15,269.35958361222,39.3053881520511,36.0863103280544,267.991804481353
"16",16,270.082273081447,39.7128573248185,33.2612568500547,273.164470305282
"17",17,265.868096716002,41.4752334746528,37.6467303032144,278.337136129212
"18",18,249.377311265444,42.0277114995764,38.2416265539904,283.509801953141
"19",19,226.356405506849,39.7578940827304,36.1509365518712,270.090150476129
"20",20,193.494289281809,34.985600227482,31.2367706697896,243.251319900138
"21",21,143.564728593418,28.5384740961024,25.8506243472425,191.941901563917
"22",22,106.487884377223,20.7615555286524,18.1768332484649,140.632483227696
"23",23,80.6365490326772,11.5036310351457,13.5247102079124,100.156617242659
"24",24,66.6423175494225,7.93489005302004,7.84634310873587,59.8593126385848
