"","x","R","URS","UR","RS"
"1",1,1.00821763939059e-05,0.937001130184918,1.27257402391487,1.13685243518297e-07
"2",2,1.18834725126685e-05,1.13095111458952,1.49993393270575,-3.71394134355392e-09
"3",3,2.30529000116357e-06,0.673779273970103,0.29097366872685,9.67268359881225e-11
"4",4,1.01088093998853e-06,0.407550577920952,0.127580805513442,4.34819457085897e-10
"5",5,39.5658022140187,1.12798251369953,0.44848163494789,-4.68240247991982e-13
"6",6,53.6365135913696,3.78986267740963,2.12798213445442,19.006264328817
"7",7,82.7764464501983,9.9635863712765,6.85518083113377,92.7602807075845
"8",8,126.113732191236,19.2471297780221,17.2215596297123,167.920373464576
"9",9,181.041520088459,26.1924293922339,28.4028477624942,243.080466221567
"10",10,222.62366756028,27.1781449866309,21.6560509791874,248.745958588244
"11",11,240.930963459917,28.7776810687821,23.8723775881765,254.41145095492
"12",12,254.458818291374,31.5010291964193,30.8107325015203,260.076943321597
"13",13,264.220647033375,32.2690960921263,27.6929270346597,265.742435688274
"14",14,271.024726091089,31.3964737709244,28.3158384739819,271.40792805495
"15",15,275.312662618423,30.7679236297495,26.6844026688761,277.073420421627
"16",16,277.081057125169,31.6644234116805,25.6054888457998,282.738912788304
"17",17,272.609612702493,34.0544905036376,33.6773173023239,288.404405154981
"18",18,263.864610284859,34.1722988474234,28.06584659862,294.069897521657
"19",19,249.18559721471,33.8010326217518,31.3007253863339,299.735389888334
"20",20,209.2994797563,32.0911897491029,29.139236595794,305.400882255011
"21",21,152.597042666587,26.327507945014,25.955998769492,229.125116639713
"22",22,107.64087084928,17.1258640964158,13.8552320554358,152.849351024416
"23",23,85.4686967871231,7.72340445965449,7.44227063313867,76.5735854091182
"24",24,76.930395567112,4.28944719104039,4.2531458919495,37.0669582603373
