"","x","R","URS","UR","RS"
"1",1,9.63816475833881,1.61643672633116,3.10313219717723,1.15167628109794
"2",2,13.3446044017786,1.28894767302247,0.820718342276429,1.15179802115555
"3",3,22.6412241394356,0.759714560354408,0.396137553501802,1.15638781440712
"4",4,35.9871730807718,0.728575087132712,0.647046064151558,1.48263895978923
"5",5,53.7259564418602,1.56256851990636,0.66804446800618,3.50715711333893
"6",6,76.433472859292,4.58693013269417,2.76875321327382,18.7662641532692
"7",7,105.110463703902,11.9152816960856,7.69768009526728,91.4921200727166
"8",8,142.230477903524,22.8036539101926,22.4016148930631,179.608249289924
"9",9,170.700317631659,30.6004310994096,29.5107561233226,202.636572652592
"10",10,193.260321925207,33.9256569941598,29.3162138647058,220.898383607365
"11",11,211.274213005022,36.7524591289938,31.833007440317,235.714444349824
"12",12,225.563545873964,40.0461208583123,36.3492340211239,247.806159793443
"13",13,236.708785962526,40.9543871601342,38.5366932799045,257.67806989318
"14",14,245.167006070978,39.7065706371186,32.7083416343725,265.587279428136
"15",15,251.186969634217,39.3053883604012,36.0863103349717,272.798537817299
"16",16,254.711419040416,39.7128576232608,33.2612571734838,279.858349554256
"17",17,255.452904846622,41.4752337997551,37.6467305592699,286.495411021091
"18",18,252.93724382378,42.027711773978,38.2416268118044,293.132472487925
"19",19,246.599543469598,39.7578942460278,36.150936657339,266.820016778749
"20",20,227.938873867514,34.9856002650292,31.2367706777875,230.982377372005
"21",21,204.093898551251,28.5384740321162,25.8506242457117,189.223115720041
"22",22,174.136097621109,20.7615553780676,18.1768331459021,145.938712969015
"23",23,136.695602904466,11.5036308473151,13.5247098624186,102.654310217988
"24",24,87.4676861767017,7.93488982535763,7.84634288255784,59.3699074669613
