"","x","R","URS","UR","RS"
"1",1,12.1873771569053,1.8039151088584,2.8347532876552,1.07007801813373
"2",2,15.863718461609,2.08534062655139,1.98295735937096,1.20114451067532
"3",3,23.2672917455162,1.55893512847597,1.42547358288189,1.60011817306493
"4",4,34.5564631197539,1.18088654505841,0.508736404447433,6.49567619548061
"5",5,50.013003129182,1.57870523336189,1.34018785707061,14.9230925165854
"6",6,70.1290205074252,3.47683952093284,1.82014684889374,41.0384058836612
"7",7,96.9730699194877,8.10056142425647,6.13007148482481,79.3110615380535
"8",8,131.661772914327,15.7755025963617,12.6754179090231,134.45678243815
"9",9,158.858489146931,24.2796133560491,24.3775897773738,174.381958285617
"10",10,180.521550238794,29.9060305159643,25.6041989728741,203.854002247678
"11",11,197.726915701187,33.515269647683,31.3260578670724,225.804879629134
"12",12,211.175760689517,35.4164188420033,31.2061225722596,242.219758671826
"13",13,221.463013535051,36.0121470393186,32.0432074763029,254.84987021346
"14",14,229.039233319095,35.5030993269068,32.8956405924559,264.62823415533
"15",15,234.113780887938,34.4286726323472,27.7879909084873,265.891676347255
"16",16,234.315807821433,34.5228890008124,33.1224643818184,266.896663498072
"17",17,231.721375582112,32.8170922458042,28.5485721436151,260.156777087011
"18",18,226.001082208737,31.5351870333445,26.0433930372033,253.41689067595
"19",19,216.723435473824,30.8838088667501,30.1162786653014,240.66557864002
"20",20,203.218138346105,28.8043859532555,24.2720456770419,221.929974256972
"21",21,184.709399183576,24.178203823832,24.0342249371634,176.433312672396
"22",22,159.993087503359,16.9953590577054,14.63768789277,130.93665108782
"23",23,127.601517018911,8.26241205891092,8.4200707981852,85.4399895032433
"24",24,83.9335038082975,5.90711843026404,5.85828520567701,39.943327918667
