"","x","R","URS","UR","RS"
"1",1,11.7269688111764,0.763817279720459,1.21602929094841,0.602042569740148
"2",2,15.8288785968514,0.898346229586042,0.821059803987007,0.639112532366473
"3",3,25.8845002357223,0.68453782930721,0.689682690191412,0.732645958973314
"4",4,40.1512917937766,0.511705914463783,0.195975151773198,2.70130112986233
"5",5,58.8296363289116,1.22945032194109,0.345438806304828,5.30080361000579
"6",6,82.300035264155,4.29950659848678,2.29469818381951,16.0084455416895
"7",7,111.263159492955,10.4845593335867,8.15502290316919,99.2855948248074
"8",8,147.496022767924,17.3848435820947,18.4094812385557,197.805390156882
"9",9,176.239289731743,20.7009830271115,17.9497648321519,215.698663445295
"10",10,200.014199772216,22.3800490339227,20.1472889782711,232.828463183271
"11",11,219.870000387683,25.2434476119928,19.8080643636296,249.182456926211
"12",12,236.423158247975,30.1712294209217,27.6260426561036,264.674462884811
"13",13,250.043416574457,33.2156180784896,32.5416927263672,278.874094388645
"14",14,261.039869678165,31.7959224461712,27.4863844847339,291.669459615953
"15",15,269.588094291784,29.3697977215821,25.1254547735978,300.57928114704
"16",16,275.629471110764,29.3839582968672,24.1345946565705,309.489102678128
"17",17,278.839063168008,31.9186480686951,28.8795014858292,318.398924209215
"18",18,278.679349628709,33.1744206967192,31.3191940954428,327.308745740303
"19",19,267.626354947894,31.5303862625444,27.5172196162171,305.833457625517
"20",20,251.696927970926,29.2763260436397,24.9190693346014,282.057757673806
"21",21,229.75252817226,25.3663970797482,26.3123480334843,257.051831243564
"22",22,199.991016718149,17.4959061428175,14.6559197174615,180.549819561027
"23",23,160.088654289821,7.98912454840706,7.55871496349797,104.047807878491
"24",24,104.239020983333,4.05939013025394,4.02570134076072,27.5457961959541
