"","sd=0.5","sd=1","sd=2"
"median R",0.01,0.017,0.038
"median URS",0.014,0.021,0.056
"median UR",0.014,0.023,0.064
"mean R",0.012,0.019,0.043
"mean URS",0.014,0.025,0.057
"mean UR",0.014,0.026,0.065
