"","sd=0.5","sd=1","sd=2"
"median R",0.015,0.038,0.098
"median URS",0.026,0.057,0.275
"median UR",0.025,0.058,0.311
"mean R",0.018,0.044,0.117
"mean URS",0.027,0.064,0.292
"mean UR",0.028,0.064,0.326
"median RS",0.017,0.033,0.118
"mean RS",0.023,0.046,0.139
