"","x","R","URS","UR","RS"
"1",1,0.22484910264562,0.549893454324459,0.549967895178519,0.101950794190931
"2",2,0.22484910264562,0.321387010762032,0.321296435465705,0.101950785503962
"3",3,0.22484910264562,0.151333075445171,0.151374394775048,0.101950785465512
"4",4,0.22484910264562,0.157607051377725,0.157628263338327,0.101950785429446
"5",5,0.22484910264562,0.198527847342779,0.19866584953286,0.152001423962156
"6",6,0.232715400113668,0.394142737378768,0.393991775225559,0.35973496465332
"7",7,1.38495825243376,1.50058619660888,1.5003094806049,1.33577155944978
"8",8,2.53720110475384,2.48353565816378,2.48440821876087,2.44141021254526
"9",9,3.4075818417906,3.52122766556653,3.51829775421891,3.50984403204344
"10",10,4.01239093902967,3.91632565118422,3.92153649422107,4.25093665771463
"11",11,4.31864105180432,4.20424838766874,4.19593298174381,4.32406227466116
"12",12,4.41839944575434,4.49842942983305,4.50734617468231,4.34804613119733
"13",13,4.42830005914433,4.55223120493203,4.54399704510989,4.3720299877335
"14",14,4.43820067253432,4.44194596181947,4.44710616536789,4.39601384426968
"15",15,4.4481012859243,4.34746246312621,4.34443594683801,4.41999770080585
"16",16,4.45800189931429,4.39210113817829,4.39287740853963,4.44398155734202
"17",17,4.46790251270428,4.57638210189798,4.5759013310002,4.46796541387819
"18",18,4.47780312609426,4.45111610793074,4.45071210434774,4.49194927041436
"19",19,4.48770373948425,4.5857737940811,4.58584138113244,4.51593312695053
"20",20,4.49760435287424,4.45760559776103,4.45710036560162,4.5399169834867
"21",21,4.14053231215621,4.10181867167014,4.10191640115824,4.16666495490818
"22",22,3.25082779373645,3.41991301033865,3.41960228946823,3.297272917753
"23",23,2.28095732010427,2.21914820455771,2.21930447756643,2.27565675492053
"24",24,1.31108684647209,1.30874385027286,1.30873215295814,1.25404059208806
