"","x","R","URS","UR","RS"
"1",1,0.238809588762372,0.519476096520899,0.519542818672129,0.113000517058235
"2",2,0.238809588762372,0.303657356456283,0.303670857996635,0.113000512403442
"3",3,0.238809588762372,0.178172421347716,0.178141992574353,0.113000512367929
"4",4,0.238809588762372,0.166391791158396,0.166367995279195,0.113000512351927
"5",5,0.238809588762372,0.168180658895121,0.168146971103724,0.113000512337644
"6",6,0.238809588762372,0.503693014123668,0.503706394544112,0.315594193292623
"7",7,1.2904416683487,1.49869704995072,1.49812591433856,1.3962219748391
"8",8,2.60077440973073,2.59022206531599,2.59184006035848,2.56330235056144
"9",9,3.21236017133415,3.20613112401638,3.20136541249935,3.23486362552533
"10",10,3.71715721309893,3.64659400750098,3.65526846721927,3.90642490048923
"11",11,4.09451828028813,3.95402985450803,3.94060127040547,4.15633103745291
"12",12,4.31956657120177,4.34457001640783,4.3593288472502,4.20727826744334
"13",13,4.34188789001039,4.51609494781102,4.50273413642962,4.25822549743377
"14",14,4.36420920881901,4.35036921709852,4.35898820800263,4.3091727274242
"15",15,4.38653052762762,4.29734646592021,4.29257605896091,4.36011995741462
"16",16,4.40885184643624,4.29705456385497,4.29853633513402,4.41106718740505
"17",17,4.43117316524486,4.51663602838268,4.51599773430827,4.46201441739548
"18",18,4.45349448405348,4.61780873032971,4.61747395421073,4.51296164738591
"19",19,4.44781793888913,4.47352771625769,4.47362277959098,4.523409091751
"20",20,4.36084367486764,4.29901064909603,4.29848243724022,4.42949689594945
"21",21,4.27386941084615,4.29672091077362,4.29677258082261,4.33056603017143
"22",22,3.57798997079619,3.68451691370671,3.68418256012179,3.63220701308856
"23",23,2.4616689107606,2.38214615999912,2.38230117543712,2.42522734497693
"24",24,1.34534785072502,1.39358331902722,1.39357787504375,1.2182476768653
