"","sd=0.5","sd=1","sd=2"
"median R",0.009,0.016,0.027
"median URS",0.012,0.022,0.06
"median UR",0.014,0.025,0.061
"mean R",0.012,0.019,0.031
"mean URS",0.013,0.025,0.063
"mean UR",0.014,0.028,0.066
