"","sd=0.5","sd=1","sd=2"
"median R",0.008,0.012,0.016
"median URS",0.013,0.021,0.052
"median UR",0.013,0.023,0.063
"mean R",0.01,0.014,0.02
"mean URS",0.014,0.024,0.053
"mean UR",0.014,0.026,0.062
